@structureId,@chemicalID,@type,@molecularWeight,chemicalName,formula,InChI,InChIKey,smiles
3FXZ,FLL,NON-POLYMER,668.016,OCTAHEDRAL RU-PYRIDOCARBAZOLE,C30 H18 Cl F N5 O4 Ru,"InChI=1S/C17H8FN3O3.C12H11N2.CO.ClH.Ru/c18-6-3-9-12-13(17(24)21-16(12)23)11-8-4-7(22)1-2-10(8)20-15(11)14(9)19-5-6;1-2-6-11(7-3-1)14-10-12-8-4-5-9-13-12;1-2;;/h1-5H,(H3,19,20,21,22,23,24);1-9H,10H2;;1H;/q;-1;;;+3/p-2",CKLLNPJPVSFCGU-UHFFFAOYSA-L,c1ccc(cc1)N2CC3=[N]([Ru]24(N5C=C(C=C6C5=C7[N]4=C8C=CC(=CC8=C7C9=C6C(=O)NC9=O)O)F)(C#O)Cl)C=CC=C3
2HY8,1ST,NON-POLYMER,480.515,"(5S,6R,7R,9R)-12-HYDROXY-6-METHOXY-5-METHYL-7-(METHYLAMINO)-6,7,8,9-TETRAHYDRO-5H,14H-5,9-EPOXY-4B,9A,15-TRIAZADIBENZO[
B,H]CYCLONONA[1,2,3,4-JKL]CYCLOPENTA[E]-AS-INDACEN-14-ONE",C28 H24 N4 O4,"InChI=1S/C28H24N4O4/c1-28-26(35-3)17(29-2)11-20(36-28)31-18-9-8-13(33)10-15(18)22-23-16(12-30-27(23)34)21-14-6-4-5-7-19(14)32(28)25(21)24(22)31/h4-10,12,17,20,26,29,33H,11H2,1-3H3/t17-,20-,26-,28+/m1/s1",JTLFDPIJDGKVHW-FYTWVXJKSA-N,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)n3c4ccc(cc4c5c3c6n2c7ccccc7c6c8c5C(=O)N=C8)O)NC)OC
4DAW,0H2,NON-POLYMER,562.714,"[1,3-dioxo-6-(pyridin-2-yl-kappaN)-2,3-dihydro-1H-isoindol-5-yl-kappaC~5~][(thioxomethylidene)azanido-kappaN](1,4,7-trithionane-kappa~3~S~1~,S~4~,S~7~)ruthenium",C20 H19 N3 O2 Ru S4,"InChI=1S/C13H7N2O2.C6H12S3.CNS.Ru/c16-12-9-5-4-8(7-10(9)13(17)15-12)11-3-1-2-6-14-11;1-2-8-5-6-9-4-3-7-1;2-1-3;/h1-3,5-7H,(H,15,16,17);1-6H2;;/q;;-1;+1",QCJZVWXEKKIDLD-UHFFFAOYSA-N,c1c2c(cc3c1C4=[N]([Ru]356([S]7CC[S]5CC[S]6CC7)N=C=S)C=CC=C4)C(=O)NC2=O
4EQC,XR1,NON-POLYMER,558.097,"6-[2-chloro-4-(1,3-thiazol-5-yl)phenyl]-8-ethyl-2-{[4-(4-methylpiperazin-1-yl)phenyl]amino}pyrido[2,3-d]pyrimidin-7(8H)-one",C29 H28 Cl N7 O S,"InChI=1S/C29H28ClN7OS/c1-3-37-27-20(14-24(28(37)38)23-9-4-19(15-25(23)30)26-17-31-18-39-26)16-32-29(34-27)33-21-5-7-22(8-6-21)36-12-10-35(2)11-13-36/h4-9,14-18H,3,10-13H2,1-2H3,(H,32,33,34)",DHUJCQOUWQMVCG-UHFFFAOYSA-N,CCN1c2c(cnc(n2)Nc3ccc(cc3)N4CCN(CC4)C)C=C(C1=O)c5ccc(cc5Cl)c6cncs6
3Q53,ATP,NON-POLYMER,507.181,ADENOSINE-5'-TRIPHOSPHATE,C10 H16 N5 O13 P3,"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",ZKHQWZAMYRWXGA-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N
5DFP,59U,NON-POLYMER,518.053,"6-[2-chloro-4-(6-methylpyrazin-2-yl)phenyl]-8-ethyl-2-{[2-(1-methylpiperidin-4-yl)ethyl]amino}pyrido[2,3-d]pyrimidin-7(8H)-one",C28 H32 Cl N7 O,"InChI=1S/C28H32ClN7O/c1-4-36-26-21(16-32-28(34-26)31-10-7-19-8-11-35(3)12-9-19)13-23(27(36)37)22-6-5-20(14-24(22)29)25-17-30-15-18(2)33-25/h5-6,13-17,19H,4,7-12H2,1-3H3,(H,31,32,34)",RYCBSFIKWACFBY-UHFFFAOYSA-N,CCN1c2c(cnc(n2)NCCC3CCN(CC3)C)C=C(C1=O)c4ccc(cc4Cl)c5cncc(n5)C
3FY0,DW1,NON-POLYMER,496.437,Ruthenium pyridocarbazole,C23 H13 N3 O4 Ru,"InChI=1S/C17H9N3O3.C5H5.CO.Ru/c21-7-3-4-10-9(6-7)11-13-12(16(22)20-17(13)23)8-2-1-5-18-14(8)15(11)19-10;1-2-4-5-3-1;1-2;/h1-6H,(H3,18,19,20,21,22,23);1-5H;;/q;;;+1/p-1",KERGYDCAYYYADM-UHFFFAOYSA-M,C1=CC(C=C1)[Ru]2(N3C=CC=C4C3=C5[N]2=C6C=CC(=CC6=C5C7=C4C(=O)NC7=O)O)C#O
