,molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled,ROMol
57,CHEMBL4764341,92.0,nM,Cc1cccn(-c2ccc(-c3ccc4c(C(=O)NCc5ccccc5)n[nH]c4c3)c(Cl)c2)c1=O,7.036212172654444,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3573190>
60,CHEMBL3580975,110.0,nM,CN(Cc1ccc2[nH]cnc2c1Cl)c1nccc(Nc2cc(C3CC3)[nH]n2)n1,6.958607314841775,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB35732E0>
62,CHEMBL3964858,110.0,nM,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(C)c3cc(CO)c(C)cc3C)n2)ccc1N1C[C@@H]2C[C@H]1CN2C,6.958607314841775,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB35733C0>
63,CHEMBL3580968,120.0,nM,C[C@H](Nc1nccc(Nc2cc(C3CC3)[nH]n2)n1)c1ccc2[nH]ccc2c1,6.920818753952375,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3573430>
64,CHEMBL3596904,120.0,nM,O=C(c1ccccc1F)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,6.920818753952375,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB35734A0>
65,CHEMBL3770909,124.0,nM,CCNc1ncc2cc(-c3ccc(-c4cncc(C)n4)cc3Cl)c(=O)n(C[C@H]3CC[C@H](N)CC3)c2n1,6.906578314837764,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3573510>
68,CHEMBL3596928,130.0,nM,COc1nn(C)cc1-c1cnc2[nH]cc(C(=O)c3ccc(COc4cccnc4)cc3Cl)c2c1,6.886056647693163,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB35735F0>
69,CHEMBL2386716,133.0,nM,C[C@H](Nc1nccc(Nc2cc(C3CCC3)[nH]n2)n1)c1ccc2[nH]ccc2c1,6.876148359032914,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3573660>
70,CHEMBL3596929,140.0,nM,COc1nn(C)cc1-c1cnc2[nH]cc(C(=O)c3ccc(CCO)cc3Cl)c2c1,6.853871964321762,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB35736D0>
71,CHEMBL4755754,143.0,nM,Cc1cccn(-c2ccc(-c3ccc4c(C(=O)NC5CCN(C)CC5)n[nH]c4c3)c(Cl)c2)c1=O,6.844663962534938,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3573740>
72,CHEMBL3769748,145.0,nM,CCNc1ncc2cc(-c3ccc(-c4cncc(C)n4)cc3Cl)c(=O)n(CC3CCNCC3)c2n1,6.838631997765026,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB35737B0>
74,CHEMBL3770295,148.0,nM,CCNc1ncc2cc(-c3ccc(-c4cncc(C)n4)cc3Cl)c(=O)n(C[C@H]3OC[C@H](N)CO3)c2n1,6.8297382846050425,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3573890>
75,CHEMBL4790872,159.0,nM,CNC(=O)c1n[nH]c2cc(-c3ccc(-c4cncc(C)n4)cc3Cl)ccc12,6.798602875679549,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3573900>
76,CHEMBL4780410,170.0,nM,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)NC1CCN(c2ncnc3[nH]ncc23)CC1,6.769551078621726,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3573970>
77,CHEMBL3609370,190.0,nM,CCN1c2ccc(F)cc2N=C(N[C@H]2CCN(C(=O)OC(C)(C)C)C2)c2cc(Cl)ccc21,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB35739E0>
79,CHEMBL3910608,220.0,nM,Cc1cc(C)c(N(C)c2nc(Nc3cc(N4CCOCC4)cc(S(C)(=O)=O)c3)ncc2F)cc1CO,6.657577319177793,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3573AC0>
83,CHEMBL4789576,229.0,nM,Cc1cccc(-c2ccc(-c3ccc4c(C(=O)NCC5CC5)n[nH]c4c3)c(Cl)c2)n1,6.6401645176601125,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3573C10>
