,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
141,CHEMBL4784049,2160.0,nM,Cc1cccc(C)c1NC(=O)NC1CCN(c2ncnc3[nH]ncc23)CC1,5.665546248849069,365.19640835600006,5,3,2.7602400000000005,True
142,CHEMBL3580962,2200.0,nM,N[C@H]1CC[C@H](CNc2nccc(Nc3cc(C4CC4)[nH]n3)n2)CC1,5.657577319177793,327.21714380000003,6,4,2.7501,True
143,CHEMBL4776761,2290.0,nM,O=C(Nc1ccc(Cl)c(Cl)c1)NC1CCN(c2ncnc3[nH]ncc23)CC1,5.6401645176601125,405.0871635240001,5,3,3.4502000000000024,True
144,CHEMBL4747190,2440.0,nM,O=C(CCN1CCOCC1)Nc1ccc2c(c1)/C(=C\c1ccc(F)c(Cl)c1)C(=O)N2,5.61261017366127,429.125547432,4,2,3.632600000000001,True
145,CHEMBL1437894,2500.0,nM,CCCCCC(=O)c1c(O)cc(OC)c(Cl)c1O,5.6020599913279625,272.08153670400003,4,2,3.5228000000000024,True
146,CHEMBL472940,2500.0,nM,Oc1ccc2ccccc2c1SSc1c(O)ccc2ccccc12,5.6020599913279625,350.043521688,4,2,6.203600000000003,True
147,CHEMBL4779077,2510.0,nM,O=C(NC1CCN(c2ncnc3[nH]ncc23)CC1)c1cccc(C(F)(F)F)c1,5.600326278518962,390.141593824,5,2,2.7705,True
148,CHEMBL2403062,2680.0,nM,CCOC(=O)c1cccc(-c2nc(Nc3ccc(N4CCN(C)CC4)c(OC)c3)ncc2Cl)c1,5.571865205971211,481.188067436,8,1,4.477700000000004,True
149,CHEMBL2403068,2880.0,nM,COCCOc1cc(Nc2ncc(Cl)c(-c3cccc(CC#N)c3)n2)ccc1N1CCN(C)CC1,5.5406075122407685,492.2040518480001,8,1,4.383680000000003,True
150,CHEMBL1762546,3100.0,nM,Cc1ccc(CO)cc1N(C)c1ccnc(Nc2cc(N3CCOCC3)cc(S(C)(=O)=O)c2)n1,5.508638306165727,483.194025408,9,2,3.028920000000001,True
151,CHEMBL4748052,3170.0,nM,O=C(CCN1CCOCC1)Nc1ccc2c(c1)/C(=C\c1ccc(O)c(O)c1)C(=O)N2,5.498940737782249,409.163770836,6,4,2.2513000000000005,True
152,CHEMBL3969873,3300.0,nM,COCc1ccc(C)c(N(C)c2nc(Nc3cc(N4CCOCC4)cc(S(C)(=O)=O)c3)ncc2F)c1,5.481486060122112,515.2002536599999,9,1,3.822120000000002,True
153,CHEMBL4799887,3410.0,nM,O=C(CCN1CCOCC1)Nc1ccc2c(c1)/C(=C\c1ccc(O)cc1)C(=O)N2,5.467245621007502,393.168856216,5,3,2.5457,True
154,CHEMBL4277903,4000.0,nM,Cc1cc(C)cc(NC(=N)Nc2ccccc2C(F)(F)F)c1,5.3979400086720375,307.129632172,1,3,4.781010000000002,True
155,CHEMBL2403073,4010.0,nM,CCN(CC)C(=O)c1cc(Nc2ncc(Cl)c(-c3cccc(CC#N)c3)n2)ccc1N1CCN(C)CC1,5.396855627379818,517.2356863240001,7,1,4.840480000000003,True
156,CHEMBL4779629,4030.0,nM,O=C(Nc1ccc(Br)cc1)NC1CCN(c2ncnc3[nH]ncc23)CC1,5.39469495385889,415.0756202960001,5,3,2.9059,True
157,CHEMBL4780102,4170.0,nM,O=C(NC1CCN(c2ncnc3[nH]ncc23)CC1)c1cccc(Cl)c1Cl,5.379863945026242,390.076264492,5,2,3.0585000000000013,True
158,CHEMBL4743541,4350.0,nM,O=C(CCN1CCOCC1)Nc1ccc2c(c1)/C(=C\c1ccc3[nH]ncc3c1)C(=O)N2,5.361510743045363,417.1800895960001,5,3,2.7164,True
159,CHEMBL4793597,4540.0,nM,O=C(NC1CCN(c2ncnc3[nH]ncc23)CC1)c1ccc(F)cc1,5.342944147142896,340.144787384,5,2,1.8907999999999996,True
160,CHEMBL2403064,4670.0,nM,COc1cc(Nc2ncc(Cl)c(-c3cccc(NC(C)=O)c3)n2)ccc1N1CCN(C)CC1,5.330683119433887,466.18840178400006,7,2,4.259400000000004,True
161,CHEMBL4789740,4710.0,nM,Cc1ccc(NC(=O)NC2CCN(c3ncnc4[nH]ncc34)CC2)cc1,5.326979092871104,351.180758292,5,3,2.451820000000001,True
162,CHEMBL5179545,5000.0,nM,CCC(=O)c1n[nH]c2ccc(-c3ccccc3Cl)cc12,5.301029995663981,284.07164071600005,2,1,4.476000000000002,True
163,CHEMBL4748736,5000.0,nM,CNC(=O)c1n[nH]c2cc(-c3ccccc3Cl)ccc12,5.301029995663981,285.066889684,2,2,3.242900000000001,True
164,CHEMBL4782248,5170.0,nM,O=C(Nc1ccc(F)cc1F)N1CCC(Nc2ncnc3[nH]ncc23)CC1,5.286509456906058,373.14626460400007,5,3,2.7395000000000005,True
165,CHEMBL2403063,5210.0,nM,COc1cc(Nc2ncc(Cl)c(-c3cccc(C(=O)O)c3)n2)ccc1N1CCN(C)CC1,5.283162276700475,453.156767308,7,2,3.9992000000000023,True
166,CHEMBL4791690,5240.0,nM,O=C(NC1CCN(c2ncnc3[nH]ncc23)CC1)c1ccccc1Cl,5.280668713016274,356.115236844,5,2,2.4051,True
167,CHEMBL4777564,5240.0,nM,O=C(Nc1ccccc1Cl)N1CCC(Nc2ncnc3[nH]ncc23)CC1,5.280668713016274,371.126135876,5,3,3.114700000000001,True
168,CHEMBL3128042,5420.0,nM,COCCNc1nc2ccc(C#CC3(O)CCCCC3)cc2n1-c1ccnc(N)n1,5.266000713461613,406.2117240720001,8,3,2.5027,True
169,CHEMBL4783298,5460.0,nM,O=C(Nc1ccc(Cl)cc1Cl)N1CCC(Nc2ncnc3[nH]ncc23)CC1,5.262807357295262,405.0871635240001,5,3,3.7681,True
170,CHEMBL4781055,5610.0,nM,Cc1ccc(C(=O)NC2CCN(c3ncnc4[nH]ncc34)CC2)cc1,5.251037138743838,336.16985925999995,5,2,2.06012,True
171,CHEMBL4784509,5740.0,nM,O=C(NC1CCN(c2ncnc3[nH]ncc23)CC1)c1ccc(C(F)(F)F)cc1,5.241088107602026,390.141593824,5,2,2.770500000000001,True
172,CHEMBL4779460,5770.0,nM,CN(C)c1ccc(/C=C2/C(=O)Nc3ccc(NC(=O)CCN4CCOCC4)cc32)cc1,5.238824186844269,420.216140756,5,2,2.906100000000001,True
173,CHEMBL4761972,5770.0,nM,O=C(CCN1CCCCC1)Nc1ccc2c(c1)/C(=C\c1c[nH]c3ccccc13)C(=O)N2,5.238824186844269,414.205576072,3,3,4.475100000000003,True
174,CHEMBL3609329,6000.0,nM,CN1CCN(C2=Nc3cc(F)ccc3N(C)c3ccc(Cl)cc32)CC1,5.221848749616356,358.13605254,4,0,3.886100000000003,True
175,CHEMBL4550702,6200.0,nM,Cn1cc(-c2cnc3c(-c4csc(C(=O)NCC(F)(F)F)c4)cnn3c2)cn1,5.207608310501746,406.08236469600007,7,1,3.150400000000001,True
176,CHEMBL4800174,6260.0,nM,Cc1ccccc1C(=O)NC1CCN(c2ncnc3[nH]ncc23)CC1,5.20342566678957,336.16985926,5,2,2.06012,True
177,CHEMBL4796946,6270.0,nM,Cc1cccc(C)c1NC(=O)N1CCC(Nc2ncnc3[nH]ncc23)CC1,5.202732459169283,365.19640835600006,5,3,3.078140000000001,True
178,CHEMBL3596901,6300.0,nM,O=S(=O)(c1ccccc1Cl)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,5.200659450546418,441.10262356,6,2,3.837100000000002,True
179,CHEMBL4781239,6370.0,nM,COc1ccc(NC(=O)NC2CCN(c3ncnc4[nH]ncc34)CC2)cc1,5.195860567664649,367.175672912,6,3,2.1519999999999992,True
180,CHEMBL2403072,6550.0,nM,CNC(=O)c1cc(Nc2ncc(Cl)c(-c3cccc(CC#N)c3)n2)ccc1N1CCN(C)CC1,5.183758700008217,475.1887361320001,7,2,3.7180800000000014,True
181,CHEMBL4780723,6670.0,nM,S=C(Nc1ccccc1Cl)N1CCC(Nc2ncnc3[nH]ncc23)CC1,5.175874166083451,387.103292256,5,3,3.2796000000000003,True
182,CHEMBL4783933,6770.0,nM,Cc1cc(C)c(C(=O)NC2CCN(c3ncnc4[nH]ncc34)CC2)c(C)c1,5.169411331314856,364.201159388,5,2,2.676960000000001,True
183,CHEMBL4793210,6770.0,nM,O=C(c1cccc(Cl)c1Cl)N1CCC(Nc2ncnc3[nH]ncc23)CC1,5.169411331314856,390.07626449200006,5,2,3.376400000000001,True
184,CHEMBL4793598,6840.0,nM,O=C(c1ccccc1Cl)N1CCC(Nc2ncnc3[nH]ncc23)CC1,5.164943898279883,356.11523684400004,5,2,2.7230000000000008,True
185,CHEMBL4785429,7150.0,nM,O=C(Nc1ccc(C(F)(F)F)cc1)NC1CCN(c2ncnc3[nH]ncc23)CC1,5.145693958198919,405.1524928560001,5,3,3.162200000000001,True
186,CHEMBL4798737,7180.0,nM,O=C(Nc1cccc(Cl)c1)N1CCC(Nc2ncnc3[nH]ncc23)CC1,5.1438755557577,371.126135876,5,3,3.114700000000001,True
187,CHEMBL4788906,7360.0,nM,Cc1cccc(C)c1NC(=S)N1CCC(Nc2ncnc3[nH]ncc23)CC1,5.133122185662501,381.17356473600006,5,3,3.2430400000000006,True
